date,station,sfu_245MHz,sfu_410MHz,sfu_610MHz,sfu_1415MHz,sfu_2695MHz,sfu_4995MHz,sfu_8800MHz,sfu_15400MHz
2018-01-01,PALE,13.0,25.0,34.0,46.0,67.0,107.0,225.0,518.0
2018-01-02,PALE,12.0,26.0,35.0,46.0,69.0,107.0,240.0,520.0
2018-01-03,PALE,12.0,25.0,34.0,47.0,68.0,105.0,228.0,520.0
2018-01-04,PALE,12.0,26.0,34.0,46.0,68.0,106.0,235.0,513.0
2018-01-05,PALE,11.0,26.0,35.0,45.0,67.0,107.0,233.0,521.0
2018-01-06,PALE,11.0,25.0,35.0,46.0,66.0,105.0,238.0,508.0
2018-01-07,PALE,11.0,25.0,34.0,45.0,66.0,101.0,227.0,462.0
2018-01-08,PALE,12.0,27.0,36.0,47.0,68.0,107.0,234.0,514.0
2018-01-09,PALE,12.0,27.0,36.0,47.0,70.0,104.0,227.0,520.0
2018-01-10,PALE,13.0,27.0,36.0,47.0,71.0,107.0,235.0,515.0
2018-01-11,PALE,13.0,27.0,36.0,48.0,70.0,102.0,214.0,518.0
2018-01-12,PALE,11.0,25.0,36.0,47.0,69.0,107.0,232.0,521.0
2018-01-13,PALE,11.0,25.0,35.0,47.0,70.0,106.0,231.0,518.0
2018-01-14,PALE,8.0,22.0,35.0,47.0,69.0,108.0,233.0,529.0
2018-01-15,PALE,7.0,20.0,34.0,47.0,67.0,106.0,234.0,517.0
2018-01-16,PALE,11.0,24.0,33.0,48.0,69.0,107.0,231.0,514.0
2018-01-17,PALE,6.0,18.0,31.0,47.0,68.0,102.0,208.0,499.0
2018-01-18,PALE,13.0,26.0,36.0,49.0,70.0,109.0,235.0,521.0
2018-01-19,PALE,12.0,25.0,35.0,47.0,68.0,105.0,234.0,509.0
2018-01-20,PALE,8.0,21.0,34.0,47.0,68.0,108.0,237.0,504.0
2018-01-21,PALE,14.0,26.0,34.0,45.0,68.0,105.0,226.0,505.0
2018-01-22,PALE,12.0,27.0,35.0,46.0,68.0,107.0,233.0,507.0
2018-01-23,PALE,10.0,24.0,34.0,47.0,68.0,108.0,234.0,510.0
2018-01-24,PALE,18.0,27.0,35.0,46.0,68.0,106.0,237.0,512.0
2018-01-25,PALE,13.0,27.0,35.0,46.0,68.0,107.0,238.0,513.0
2018-01-26,PALE,13.0,25.0,34.0,45.0,69.0,106.0,226.0,515.0
2018-01-27,PALE,13.0,26.0,34.0,46.0,67.0,106.0,228.0,517.0
2018-01-28,PALE,12.0,25.0,33.0,44.0,65.0,104.0,234.0,507.0
2018-01-29,PALE,13.0,25.0,34.0,45.0,67.0,107.0,233.0,514.0
2018-01-30,PALE,12.0,25.0,34.0,45.0,66.0,107.0,237.0,514.0
2018-01-31,PALE,13.0,25.0,34.0,46.0,68.0,108.0,232.0,511.0
2018-02-01,PALE,10.0,22.0,32.0,45.0,67.0,106.0,235.0,505.0
2018-02-02,PALE,13.0,24.0,33.0,45.0,65.0,107.0,225.0,507.0
2018-02-03,PALE,13.0,24.0,34.0,46.0,67.0,108.0,232.0,501.0
2018-02-04,PALE,8.0,19.0,34.0,41.0,69.0,109.0,242.0,494.0
2018-02-05,PALE,16.0,26.0,35.0,44.0,66.0,84.0,159.0,464.0
2018-02-06,PALE,16.0,26.0,37.0,49.0,72.0,111.0,235.0,524.0
2018-02-07,PALE,20.0,15.0,37.0,51.0,76.0,114.0,237.0,522.0
2018-02-08,PALE,30.0,29.0,37.0,51.0,75.0,113.0,242.0,523.0
2018-02-09,PALE,25.0,30.0,37.0,50.0,76.0,112.0,238.0,515.0
2018-02-10,PALE,15.0,26.0,36.0,52.0,77.0,114.0,241.0,521.0
2018-02-11,PALE,21.0,33.0,38.0,50.0,77.0,112.0,236.0,514.0
2018-02-12,PALE,15.0,29.0,38.0,52.0,76.0,114.0,236.0,525.0
2018-02-13,PALE,14.0,25.0,36.0,51.0,75.0,111.0,239.0,333.0
2018-02-14,PALE,13.0,24.0,35.0,48.0,71.0,96.0,189.0,453.0
2018-02-15,PALE,14.0,25.0,37.0,49.0,72.0,107.0,239.0,514.0
